,booking_id,booking_dt,release_dt,booking_charge_desc,booking_charge_txt,charge_release_dt,title_txt,cause_num,jurisdiction_cd,release_disposition_desc,post_flg,gender_desc,race_desc,hash_id,amer_indian_alaskan,asian_pacific_island,black,hispanic,unknown,white,female,male,place_of_birth,country_of_birth,born_in_us,time_detained,log_time_detained,admin_booking,release_to_imm,cancel_detainer,imm_hold,final_release_disp,charge_count,charge_topcount,category,type,seriousness,max_seriousness,max_charge_type,max_charge_desc,drug,other,property,public_order,sex,violent,felony,misdemeanor
34037,7566f342ac35606c8b33195eaa4a8fc43c2de866,2018-01-08 11:33:00,2018-01-09 17:45:00,BURGLARY 2,,2018-01-09 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: NCF, Pending Inv",,SUP,"NCF, Pending Inv",N,MALE,WHITE,792bc12c1eb9c3fc8e6f832fd619de11e82a3065,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,1.2583333333333333,0.2297880940328783,0,0,0,0,"NCF, Pending Inv",0,0,class B felony,property,5.0,5.0,property,BURGLARY 2,0,0,1,0,0,0,1,0
34043,756b0f8fbfba46d8822f95331655b0020313f21b,2017-11-20 23:38:00,2017-12-10 05:00:00,VIO NC ORD /DV,,2017-12-10 05:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Time Served",6ZC000217,PD1,Time Served,N,FEMALE,WHITE,4ae52fcea42b8f64d7503fece5c531b733a2c6b7,0,0,0,0,0,1,1,0,UNKNOWN,UNKNOWN,False,19.223611111111108,2.9561392688866013,0,0,0,0,Time Served,2,2,gross misdemeanor,public_order,3.0,3.0,public_order,VIO NC ORD /DV,0,0,0,1,0,0,0,1
34044,756b0f8fbfba46d8822f95331655b0020313f21b,2017-11-20 23:38:00,2017-12-10 05:00:00,DWLS/DWLR,,2017-11-21 17:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Court Order",7ZC003494,PD1,Court Order,N,FEMALE,WHITE,4471c2076f84dad329c6d68242628e04debc2f66,0,0,0,0,0,1,1,0,UNKNOWN,UNKNOWN,False,19.223611111111108,2.9561392688866013,0,0,0,0,Time Served,2,2,misdemeanor,public_order,2.0,3.0,public_order,VIO NC ORD /DV,0,0,0,1,0,0,0,1
34045,756c9081007c42db67a2aa624da10d9b97ab3dba,2017-09-14 12:31:00,2017-09-24 05:00:00,UPCS,,2017-09-15 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF Final",,SUP,NCF Final,N,MALE,WHITE,9155005442418e3d7ed68aa43f0b44294ed98762,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,9.686805555555557,2.270764707522189,0,0,0,0,Time Served,2,2,class C felony,drug,4.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
34063,75731e8698dcf75066e9c51f87bf8b478744de90,2017-10-20 22:51:00,2018-03-29 09:00:00,UNL POSS FIREARM 1,,2018-03-29 08:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: WSI Chain",17-1-04069-1,SUP,WSI Chain,N,MALE,BLACK,a6e919f1e11c5f61ea34623c91f11bfb304f0f7c,0,0,1,0,0,0,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,159.42291666666668,5.071560524320226,0,0,0,0,WSI Chain,7,7,class B felony,public_order,5.0,5.0,public_order,UNL POSS FIREARM 1,0,0,0,1,0,0,1,0
34064,75731e8698dcf75066e9c51f87bf8b478744de90,2017-10-20 22:51:00,2018-03-29 09:00:00,MAL MISCH 2,,2017-10-21 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: No Prob Cause",,SUP,No Prob Cause,N,MALE,BLACK,509f22de709d01773456783c819d0f2976f19a1e,0,0,1,0,0,0,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,159.42291666666668,5.071560524320226,0,0,0,0,WSI Chain,7,7,class B felony,property,5.0,5.0,public_order,UNL POSS FIREARM 1,0,0,0,1,0,0,1,0
34094,7596f1522701bece46b51f30493985ac1a1d1d48,2017-08-31 14:51:00,2017-08-31 16:00:00,TRAFFICKING STOL PROP 2,,2017-08-31 16:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Administrative Booking",17-1-03137-4,SUP,Administrative Booking,Y,MALE,BLACK,8ca63126ba1d434ca0eaaae9877ed57380650441,0,0,1,0,0,0,0,1,NEVADA,UNITED STATES OF AMERICA,True,0.04791666666666667,-3.038291887972787,1,0,0,0,Administrative Booking,4,4,class C felony,property,4.0,5.0,property,TRAFFICKING STOL PROP 1,0,0,1,0,0,0,1,0
34104,759eaf9a3879fd87134c1f40b6998fd89a28a3ec,2017-12-24 05:11:00,2017-12-26 17:45:00,DUI WITH PRIOR CONVICTION,,2017-12-26 20:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: PR",7ZC003785,PD1,PR,N,MALE,WHITE,b33b0eb36b73e116f5c40a1068edc5d2a3f2b50d,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,2.5236111111111112,0.9256908563860704,0,0,0,0,PR,3,3,class B felony,public_order,5.0,5.0,public_order,DUI WITH PRIOR CONVICTION,0,0,0,1,0,0,1,0
34116,75af71ac8cdd131817231cc8884f3fb51d7b58f1,2017-10-24 15:47:00,2017-10-24 19:30:00,ASSAULT 4 /DV,,2017-10-24 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",7ZC000968,PD1,Bail Bond,N,MALE,AMER INDIAN/ALASKAN,30da3589ab655751a61340499e3a38e775d8e5ab,1,0,0,0,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.15486111111111112,-1.8652266211099275,0,0,0,0,Bail Bond,2,2,class C felony,violent,4.0,4.0,violent,ASSAULT 4 /DV,0,0,0,0,0,1,1,0
34117,75b02c1de86b4c43d8b82922c77873ba953ce238,2017-05-01 21:34:00,2017-05-01 21:55:00,DWLS/DWLR,,2017-05-01 23:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: SIP",,PD1,SIP,N,FEMALE,ASIAN/PACIFIC ISLAND,f8d5b8dbb65949787338154d9dd1592a54502223,0,1,0,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.014583333333333334,-4.227875954846623,0,0,0,0,SIP,0,0,misdemeanor,public_order,2.0,2.0,public_order,DWLS/DWLR,0,0,0,1,0,0,0,1
34118,75b05d5b79da58f0f0ef15082fa84243ef9617c0,2018-03-18 14:30:00,2018-03-23 16:25:00,BURGLARY 2,ATTEMPT,2018-03-23 18:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",18-1-01075-8,SUP,Bail Bond,N,MALE,WHITE,3f71dd62d749c9394c867f3c3fcf7697423679e1,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,5.079861111111111,1.6252839208841785,0,0,0,0,Bail Bond,1,1,class B felony,property,5.0,5.0,property,BURGLARY 2,0,0,1,0,0,0,1,0
34119,75b1901ddf65efb65bbba31fe4293329548780a7,2016-12-16 10:03:00,2017-01-04 05:00:00,UPCS,,2017-01-04 05:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",16-1-03970-9,SUP,Bail Bond,N,FEMALE,WHITE,b9d6657e592629e771a526e4b6d85d8a91c6f483,0,0,0,0,0,1,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,18.789583333333333,2.9333026382637715,0,0,0,0,Bail Bond,2,2,class C felony,drug,4.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
34132,75b8c075e695383ac9b0cd40dc271bf0020afd60,2017-10-30 23:41:00,2017-10-31 13:50:00,RECK DRV,,2017-10-31 21:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",12L001342,LKM,Bail Bond,N,FEMALE,BLACK,408330cc3bb7c38fa92f4b2b2060c1a311b11f94,0,0,1,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.5895833333333333,-0.528339206258699,0,0,0,0,Bail Bond,3,3,gross misdemeanor,public_order,3.0,3.0,property,THEFT 3RD,0,0,1,0,0,0,0,1
34144,75bd260584a44574d92a68dc5045900e6be0fe90,2018-04-25 07:41:00,2018-04-25 08:00:00,DWLS/DWLR,,2018-04-25 08:30:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: SIP",,PD1,SIP,N,MALE,BLACK,9c7433e2db5c8136daca8d16e36b46b2397ccc35,0,0,1,0,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.013194444444444444,-4.3279594134036055,0,0,0,0,SIP,0,0,misdemeanor,public_order,2.0,2.0,public_order,DWLS/DWLR,0,0,0,1,0,0,0,1
34145,75be581e756635420901e8b8677203f4d6fe5880,2017-12-13 17:31:00,2017-12-28 05:00:00,ASLT 3,,2017-12-14 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: PR",17-1-01676-6,SUP,PR,N,MALE,BLACK,f58251165ac720062a7b30b353a6944b1b9274e8,0,0,1,0,0,0,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,14.478472222222226,2.6726628718760095,0,0,0,0,Bail Bond,3,3,class C felony,violent,4.0,4.0,violent,ASLT 3,0,0,0,0,0,1,1,0
34146,75be581e756635420901e8b8677203f4d6fe5880,2017-12-13 17:31:00,2017-12-28 05:00:00,UPCS,,2017-12-22 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",17-1-04739-4,SUP,Bail Bond,N,MALE,BLACK,bf31c2b0347bc552aff5a58306d5f5e863acc798,0,0,1,0,0,0,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,14.478472222222226,2.6726628718760095,0,0,0,0,Bail Bond,3,3,class C felony,drug,4.0,4.0,violent,ASLT 3,0,0,0,0,0,1,1,0
34147,75be581e756635420901e8b8677203f4d6fe5880,2017-12-13 17:31:00,2017-12-28 05:00:00,ESCAPE COMMUNITY CUSTODY,,2017-12-22 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",17-1-04739-4,SUP,Bail Bond,N,MALE,BLACK,935471644a4138596b812ad698ffae3d51b13dc3,0,0,1,0,0,0,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,14.478472222222226,2.6726628718760095,0,0,0,0,Bail Bond,3,3,class C felony,public_order,4.0,4.0,violent,ASLT 3,0,0,0,0,0,1,1,0
34197,75eee37e3a5570c4589f107df932437f58390147,2016-10-27 18:09:00,2016-12-06 18:00:00,UNL POSS FIREARM 1,,2016-12-06 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",16-1-04281-5,SUP,Bail Bond,N,MALE,HISPANIC,43989740c350fbc92ed85672374df057508bacf5,0,0,0,1,0,0,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,39.99375,3.688723191905633,0,0,0,0,Bail Bond,4,4,class B felony,public_order,5.0,5.0,public_order,UNL POSS FIREARM 1,0,0,0,1,0,0,1,0
34199,75eee37e3a5570c4589f107df932437f58390147,2016-10-27 18:09:00,2016-12-06 18:00:00,POSS OF A STOLEN FIREARM,,2016-12-06 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",16-1-04281-5,SUP,Bail Bond,N,MALE,HISPANIC,e03e0311716fe633d5b919ba5331cb78c83ca90d,0,0,0,1,0,0,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,39.99375,3.688723191905633,0,0,0,0,Bail Bond,4,4,class B felony,property,5.0,5.0,public_order,UNL POSS FIREARM 1,0,0,0,1,0,0,1,0
34205,75f0e74546dc8ef6a31b8a2158d7ec5d8e2791a9,2016-09-17 06:27:00,2016-10-28 11:30:00,DWLS/DWLR,,2016-10-27 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Dismissed",B254599,TACM,Dismissed,N,MALE,HISPANIC,a015d7e28d9356133f662e405cb32fe25608ecb2,0,0,0,1,0,0,0,1,MEXICO (USE ONLY WHEN STATE UNK),MEXICO,False,41.21041666666667,3.7186910561141393,0,0,0,1,Mini-Chain,4,4,misdemeanor,public_order,2.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
34207,75f0e74546dc8ef6a31b8a2158d7ec5d8e2791a9,2016-09-17 06:27:00,2016-10-28 11:30:00,HIT/RUN UNATT,,2016-10-27 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Dismissed",B254599,TACM,Dismissed,N,MALE,HISPANIC,9247d79bcff691372739c68198cb3a1d8139b6db,0,0,0,1,0,0,0,1,MEXICO (USE ONLY WHEN STATE UNK),MEXICO,False,41.21041666666667,3.7186910561141393,0,0,0,1,Mini-Chain,4,4,misdemeanor,property,2.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
34208,75f22b6ed0e96a0913f0870c73d040179d7fdcd8,2018-02-06 09:00:00,2018-02-09 16:00:00,DWLS/DWLR,,2018-02-09 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Court Order",18L000001,LKM,Court Order,N,FEMALE,BLACK,a61a1b757bcfe46bc9225bf862e0b3c76ad14a25,0,0,1,0,0,0,1,0,CALIFORNIA,UNITED STATES OF AMERICA,True,3.2916666666666665,1.1913940221190755,0,0,0,0,Bail Bond,5,5,misdemeanor,public_order,2.0,5.0,public_order,DUI WITH PRIOR CONVICTION,0,0,0,1,0,0,1,0
34209,75f22b6ed0e96a0913f0870c73d040179d7fdcd8,2018-02-06 09:00:00,2018-02-09 16:00:00,DWI,,2018-02-09 16:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: PDC",B256594,TACM,PDC,N,FEMALE,BLACK,3d12deb30a3d0ce7d80165cb434a50b2d59c8f8d,0,0,1,0,0,0,1,0,CALIFORNIA,UNITED STATES OF AMERICA,True,3.2916666666666665,1.1913940221190755,0,0,0,0,Bail Bond,5,5,gross misdemeanor,public_order,3.0,5.0,public_order,DUI WITH PRIOR CONVICTION,0,0,0,1,0,0,1,0
34212,75f22b6ed0e96a0913f0870c73d040179d7fdcd8,2018-02-06 09:00:00,2018-02-09 16:00:00,DWI,,2018-02-09 20:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",21205601P,KITD,Bail Bond,N,FEMALE,BLACK,0ec150525f5b2959446ea60fc7ce6982fdc42718,0,0,1,0,0,0,1,0,CALIFORNIA,UNITED STATES OF AMERICA,True,3.2916666666666665,1.1913940221190755,0,0,0,0,Bail Bond,5,5,gross misdemeanor,public_order,3.0,5.0,public_order,DUI WITH PRIOR CONVICTION,0,0,0,1,0,0,1,0
34245,761158b5d287ac55b7fcbacce7d00458ac07bdb6,2018-03-14 15:11:00,2018-04-21 05:00:00,THEFT 1,,2018-04-01 08:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Time Served",17-1-03418-7,SUP,Time Served,Y,FEMALE,WHITE,effe81eb8f7fa3fa64da0261bf8fb26474659f76,0,0,0,0,0,1,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,37.57569444444445,3.6263574170236637,0,0,0,0,Time Served,2,2,class B felony,property,5.0,5.0,property,THEFT 1,0,0,1,0,0,0,1,0
34246,761158b5d287ac55b7fcbacce7d00458ac07bdb6,2018-03-14 15:11:00,2018-04-21 05:00:00,ASLT 3,,2018-04-21 05:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Time Served",17-1-03418-7,SUP,Time Served,Y,FEMALE,WHITE,a7b45f2c8af25250fc3f57e17a4732620c3d43b5,0,0,0,0,0,1,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,37.57569444444445,3.6263574170236637,0,0,0,0,Time Served,2,2,class C felony,violent,4.0,5.0,property,THEFT 1,0,0,1,0,0,0,1,0
34276,7621c593a898fe3317fb9d0db0559c57ed9f537a,2017-04-28 11:42:00,2017-05-11 08:00:00,UPCS,,2017-05-11 08:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: WSI Chain",15-1-05085-2,SUP,WSI Chain,Y,MALE,WHITE,3bd87d06cddb29f6c36d403fc1edb1a6e48933c1,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,12.845833333333333,2.5530195045441593,0,0,0,0,WSI Chain,7,7,class C felony,drug,4.0,5.0,public_order,POSSESSION OF UNLAWFUL FIREARMS,0,0,0,1,0,0,1,0
34280,7621c593a898fe3317fb9d0db0559c57ed9f537a,2017-04-28 11:42:00,2017-05-11 08:00:00,POSSESSION OF UNLAWFUL FIREARMS,,2017-05-11 08:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: WSI Chain",15-1-05085-2,SUP,WSI Chain,Y,MALE,WHITE,7ec1530b6d08cf27afc73ce79e47bf3aae6dde13,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,12.845833333333333,2.5530195045441593,0,0,0,0,WSI Chain,7,7,class B/C felony,public_order,5.0,5.0,public_order,POSSESSION OF UNLAWFUL FIREARMS,0,0,0,1,0,0,1,0
34285,7623aa1041956490a62c26c8057c25c5e5f5b5e7,2016-07-31 01:59:00,2016-10-04 05:00:00,OBSTR PO,,2016-09-21 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Suspended Sentence",6ZC002063,PD1,Suspended Sentence,N,MALE,WHITE,5ad36bd825de493e1022dc21e83836a9d774b4a0,0,0,0,0,0,1,0,1,NEW YORK,UNITED STATES OF AMERICA,True,65.12569444444446,4.1763191632711045,0,0,0,0,Time Served,8,8,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
34292,762997cf24c22ba8b19b6bc064e5c1ffb073b00e,2018-02-16 10:38:00,2018-07-23 05:00:00,DWI,,2018-04-27 10:18:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Credit for Time Served",2ZC005187,PD1,Credit for Time Served,N,MALE,BLACK,406f6b02b2d8fcabcb54566da74ad2e8c4f8efdc,0,0,1,0,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,156.76527777777778,5.054749640650479,0,0,0,0,Time Served,6,6,gross misdemeanor,public_order,3.0,3.0,public_order,OPERATE VEH W/O IGN INTERLOCK DEV,0,0,0,1,0,0,0,1
34310,76315283ecda38b067f53031fae824da1862591b,2017-02-02 22:21:00,2017-05-18 08:00:00,FOOD STAMPS-TRAFFICKING,,2017-05-17 00:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Time Served",17-1-00541-1,SUP,Time Served,N,MALE,WHITE,2e02b6d78a7510bd4f0ef0138098e70765cf3518,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,104.40208333333334,4.648249630549562,0,0,0,0,WSI Chain,4,4,class C felony,public_order,4.0,4.0,drug,UNLAW DEL CS,1,0,0,0,0,0,1,0
34319,763306615b39db5c5410857e6995da212d082801,2016-11-23 19:22:00,2017-05-10 14:00:00,THEFT 2,,2017-05-09 08:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Drug Court",16-1-03501-1,SUP,Drug Court,N,MALE,WHITE,1ceafba0f6cd2bf1fae49dfa42be678860e59b6c,0,0,0,0,0,1,0,1,IDAHO,UNITED STATES OF AMERICA,True,167.7763888888889,5.122632074292791,0,0,0,0,Dismissed,4,4,class C felony,property,4.0,5.0,property,TRAFFICKING STOL PROP 1,0,0,1,0,0,0,1,0
34329,763df676e9503d549f6552bbc85e83322c8859c2,2017-01-17 17:31:00,2017-02-18 05:00:00,THEFT 2,,2017-02-13 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Suspended Sentence",17-1-00222-6,SUP,Suspended Sentence,N,FEMALE,WHITE,212064944d49fa330656349ffb2ed6f92a73c519,0,0,0,0,0,1,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,31.478472222222226,3.4493038906758926,0,0,0,0,Time Served,2,2,class C felony,property,4.0,4.0,property,THEFT 2,0,0,1,0,0,0,1,0
34330,763ec6d1b7816071acfad70ae6392545dff922aa,2018-07-03 20:10:00,2018-07-03 22:20:00,DWI,,2018-07-03 22:45:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",,TACM,Bail Bond,N,FEMALE,WHITE,721ce9db634321800c3897ff1e9b71461d472b21,0,0,0,0,0,1,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.09027777777777778,-2.4048639421144635,0,0,0,0,Bail Bond,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
34339,7645cc1690678ba3cb0883dc50da6500b833faf7,2018-04-10 23:27:00,2018-04-25 11:00:00,VIO TRIP PERMIT,,2018-04-24 15:20:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Credit for Time Served",8ZC001181,PD1,Credit for Time Served,N,MALE,WHITE,744bba4f3b2e710f0e28f97417966288272d75b3,0,0,0,0,0,1,0,1,MINNESOTA,UNITED STATES OF AMERICA,True,14.48125,2.6728547091985493,0,0,0,0,Mini-Chain,4,4,gross misdemeanor,public_order,3.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
34340,7645cc1690678ba3cb0883dc50da6500b833faf7,2018-04-10 23:27:00,2018-04-25 11:00:00,VIO TRIP PERMIT,,2018-04-25 11:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Mini-Chain",181000679,KTTS,Mini-Chain,N,MALE,WHITE,267212a170474a933058e1ae101885ee4bb771a3,0,0,0,0,0,1,0,1,MINNESOTA,UNITED STATES OF AMERICA,True,14.48125,2.6728547091985493,0,0,0,0,Mini-Chain,4,4,gross misdemeanor,public_order,3.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
34405,767d6858608e2438e5421c4a36115ee98645b585,2017-11-12 23:36:00,2017-11-22 20:10:00,DWI,,2017-11-22 21:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",4ZC001922,PD1,Bail Bond,N,MALE,WHITE,835602b02db61b79567f31f5b755ac928cf0aece,0,0,0,0,0,1,0,1,KENTUCKY,UNITED STATES OF AMERICA,True,9.856944444444443,2.288176226514882,0,0,0,0,Bail Bond,6,6,gross misdemeanor,public_order,3.0,3.0,public_order,DWLS/R 1ST/2ND,0,0,0,1,0,0,0,1
34412,7681098b02d92197f99dd5faf75bcfd657d40c00,2018-04-16 22:33:00,2018-04-17 19:50:00,MAL MISCH 3,,2018-04-17 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: NCF Final",,PD1,NCF Final,N,MALE,BLACK,50ff8fa4ffa89a864c66e862d30515e341dfa3ef,0,0,1,0,0,0,0,1,SOUTH CAROLINA,UNITED STATES OF AMERICA,True,0.8868055555555555,-0.12012953653750705,0,0,0,0,NCF Final,0,0,gross misdemeanor,property,3.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
34414,7681620f362c384f81a445d2f0a58ffa16354d5b,2016-09-02 16:36:00,2017-01-19 08:00:00,ASLT 1 / DV,,2017-01-11 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Dismissed",16-1-03556-8,SUP,Dismissed,N,MALE,WHITE,40cae912fdfc77df3d8319ad7ffd7154474f07c1,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,138.64166666666668,4.9318926668776975,0,0,0,0,WSI Chain,3,3,class A felony,violent,6.0,6.0,violent,ASLT 1 / DV,0,0,0,0,0,1,1,0
34415,7681620f362c384f81a445d2f0a58ffa16354d5b,2016-09-02 16:36:00,2017-01-19 08:00:00,MAL MISCH 1,DV,2016-09-04 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: No Prob Cause",,SUP,No Prob Cause,N,MALE,WHITE,b9c01cebe7f04f2c0bcb8e9d029639c39ed0535b,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,138.64166666666668,4.9318926668776975,0,0,0,0,WSI Chain,3,3,class B felony,property,5.0,6.0,violent,ASLT 1 / DV,0,0,0,0,0,1,1,0
34416,7681620f362c384f81a445d2f0a58ffa16354d5b,2016-09-02 16:36:00,2017-01-19 08:00:00,ASLT 2 -DV,,2017-01-19 09:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: WSI Chain",16-1-03556-8,SUP,WSI Chain,N,MALE,WHITE,5882036723872139a049d691fb1e0faa7186d985,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,138.64166666666668,4.9318926668776975,0,0,0,0,WSI Chain,3,3,class B felony,violent,5.0,6.0,violent,ASLT 1 / DV,0,0,0,0,0,1,1,0
34417,7681620f362c384f81a445d2f0a58ffa16354d5b,2016-09-02 16:36:00,2017-01-19 08:00:00,UPCS,,2017-01-19 08:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: WSI Chain",16-1-03556-8,SUP,WSI Chain,N,MALE,WHITE,7737d71c923137ca7ecc216d17e93b2b5fd4d861,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,138.64166666666668,4.9318926668776975,0,0,0,0,WSI Chain,3,3,class C felony,drug,4.0,6.0,violent,ASLT 1 / DV,0,0,0,0,0,1,1,0
34443,769b5d36535c1a4c8bc18ccbdcb5e0595f86edd1,2016-11-17 14:52:00,2016-11-22 19:40:00,DWLS/DWLR,,2016-11-22 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",D48657,TACM,Bail Bond,N,MALE,WHITE,669a237b3c0d2ce1105d98bc28964a5a7a9d001e,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,5.2,1.6486586255873816,0,0,0,0,Bail Bond,2,2,misdemeanor,public_order,2.0,3.0,public_order,VIO NC ORD /DV,0,0,0,1,0,0,0,1
34444,769b5d36535c1a4c8bc18ccbdcb5e0595f86edd1,2016-11-17 14:52:00,2016-11-22 19:40:00,VIO NC ORD /DV,,2016-11-22 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",D48657,TACM,Bail Bond,N,MALE,WHITE,8f45018a7e8eaaeb72fb8ebf082cb931938ccc87,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,5.2,1.6486586255873816,0,0,0,0,Bail Bond,2,2,gross misdemeanor,public_order,3.0,3.0,public_order,VIO NC ORD /DV,0,0,0,1,0,0,0,1
34465,76ad5d0e1292c69ee46d196e2d64eee2fd0ea800,2016-11-10 16:55:00,2017-01-10 08:15:00,DRUG PARA,,2017-01-10 08:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Drug Court",16-1-03775-7,SUP,Drug Court,N,MALE,WHITE,4a1699028980b25626e70979ffdde53836a652c2,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,60.63888888888889,4.104936418093834,0,0,0,0,Drug Court,8,8,misdemeanor,drug,2.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
34473,76af2e3e701e8fb24891e122df0d26c29b6201d0,2018-03-14 00:38:00,2018-03-31 16:09:00,UPCS,,2018-03-31 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",18-1-01031-6,SUP,Bail Bond,N,MALE,WHITE,471ada74d1004edfb60d54568c6d92f289a82836,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,17.646527777777774,2.8705390375546007,0,0,0,0,Bail Bond,3,3,class C felony,drug,4.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
